position;Zx;Zy;tag_string;tag_id
1;207;7750;0021f5b4;2225588
2;199;5278;0021f57e;2225534
3;196;3268;00220d4f;2231631
4;3176;8030;0021f5cf;2225615
5;3170;5982;0024f108;2421000
6;3164;3551.4;0024f2f7;2421495
7;931;3730;0021f512;2225426
9;2384;5606;0021f58d;2225549
10;2417;3723;0021f5ed;2225645
11;940;6226;0021f5f0;2225648
12;811;1699;0024f3c9;2421705
13;1149;2726;0024f48c;2421900
14;2334;2714;0024f0a6;2420902
